"schema","object_type","object_name","grantee","privilege_type","is_grantable","source_migration_if_known","owner","classification","expected","difference"
"*","DEFAULT_FUNCTION","*future* (effective global)","PUBLIC","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_FUNCTION","*future* (effective global)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_FUNCTION","*future* (effective global)","supabase_admin","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_SEQUENCE","*future* (effective global)","postgres","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_SEQUENCE","*future* (effective global)","supabase_admin","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","postgres","DELETE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","postgres","INSERT","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","postgres","MAINTAIN","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","postgres","REFERENCES","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","postgres","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","postgres","TRIGGER","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","postgres","TRUNCATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","postgres","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","supabase_admin","DELETE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","supabase_admin","INSERT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","supabase_admin","MAINTAIN","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","supabase_admin","REFERENCES","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","supabase_admin","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","supabase_admin","TRIGGER","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","supabase_admin","TRUNCATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"*","DEFAULT_TABLE","*future* (effective global)","supabase_admin","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.assert_manager_clinic_assignment_valid()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.assert_manager_clinic_assignment_valid()","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.assert_subscription_org_root_clinic()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.belongs_to_clinic(uuid)","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.belongs_to_clinic(uuid)","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.belongs_to_clinic(uuid)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.belongs_to_clinic(uuid)","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.can_access_clinic(uuid)","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.can_access_clinic(uuid)","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.can_access_clinic(uuid)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.can_access_clinic(uuid)","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.custom_access_token_hook(jsonb)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.custom_access_token_hook(jsonb)","supabase_auth_admin","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_accessible_clinic_ids()","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_accessible_clinic_ids()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_clinic_id()","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_clinic_id()","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_clinic_id()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_clinic_id()","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_role()","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_role()","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_role()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_current_role()","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_sibling_clinic_ids(uuid)","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_sibling_clinic_ids(uuid)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.get_sibling_clinic_ids(uuid)","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.is_admin()","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.is_admin()","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.is_admin()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.is_admin()","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.jwt_clinic_id()","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.jwt_clinic_id()","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.jwt_clinic_id()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.jwt_clinic_id()","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.jwt_is_admin()","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.jwt_is_admin()","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.jwt_is_admin()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.jwt_is_admin()","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.user_role()","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.user_role()","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.user_role()","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","FUNCTION","app_private.user_role()","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","SCHEMA","app_private","anon","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","SCHEMA","app_private","authenticated","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","SCHEMA","app_private","postgres","CREATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","SCHEMA","app_private","postgres","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","SCHEMA","app_private","service_role","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"app_private","SCHEMA","app_private","supabase_auth_admin","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_FUNCTION","*future* (schema addition)","anon","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_FUNCTION","*future* (schema addition)","authenticated","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_FUNCTION","*future* (schema addition)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_FUNCTION","*future* (schema addition)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_FUNCTION","*future* (schema addition)","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_FUNCTION","*future* (schema addition)","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","anon","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","anon","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","anon","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","authenticated","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","authenticated","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","authenticated","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","postgres","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","postgres","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","postgres","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","postgres","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","postgres","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","postgres","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","service_role","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","service_role","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","service_role","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","service_role","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","service_role","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_SEQUENCE","*future* (schema addition)","service_role","USAGE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","anon","DELETE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","anon","INSERT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","anon","MAINTAIN","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","anon","REFERENCES","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","anon","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","anon","TRIGGER","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","anon","TRUNCATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","anon","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","authenticated","DELETE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","authenticated","INSERT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","authenticated","MAINTAIN","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","authenticated","REFERENCES","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","authenticated","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","authenticated","TRIGGER","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","authenticated","TRUNCATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","authenticated","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","DELETE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","DELETE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","INSERT","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","INSERT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","MAINTAIN","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","MAINTAIN","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","REFERENCES","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","REFERENCES","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","TRIGGER","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","TRIGGER","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","TRUNCATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","TRUNCATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","postgres","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","DELETE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","DELETE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","INSERT","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","INSERT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","MAINTAIN","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","MAINTAIN","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","REFERENCES","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","REFERENCES","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","SELECT","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","TRIGGER","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","TRIGGER","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","TRUNCATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","TRUNCATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","DEFAULT_TABLE","*future* (schema addition)","service_role","UPDATE","NO","UNKNOWN_NOT_IN_PG_CATALOG","supabase_admin","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","FUNCTION","accept_invite(uuid)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","FUNCTION","accept_staff_invite_atomic(uuid,uuid,text)","postgres","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
"public","FUNCTION","accept_staff_invite_atomic(uuid,uuid,text)","service_role","EXECUTE","NO","UNKNOWN_NOT_IN_PG_CATALOG","postgres","UNCLASSIFIED","UNDECIDED","UNKNOWN"
